Type;Name;Is in package;Modified by;Modified date;Path
Attribute;cod_dia;False;Benjamin;10/04/2021 12:33:41;[Entity] > [Master]-Dia > [Attribute]
Attribute;Hora fin;False;Benjamin;10/04/2021 12:36:13;[Entity] > [Master]-Hora > [Attribute]
Workspace;Workspace_e6df5346-d6f2-43d9-9a5c-119a2396a839;True;Upgrader;10/04/2021 21:30:58;
Entity;Dia;False;Benjamin;10/04/2021 12:33:41;[Entity] > [Master]
Attribute;Estado de solicitud;True;Benjamin;10/04/2021 14:12:41;[Entity] > [Master]-Reserva Local > [Attribute]
Entity;Hora;False;Benjamin;10/04/2021 12:36:13;[Entity] > [Master]
Attribute;Locales;True;Benjamin;10/04/2021 12:31:15;[Entity] > [Master]-Reserva Local > [Attribute]
Attribute;Fecha de solicitud;False;Benjamin;10/02/2021 21:46:12;[Entity] > [ParameterEnum]-ReservaLocal > [Attribute]
Attribute;cod_reserva;False;Benjamin;10/04/2021 12:31:15;[Entity] > [Master]-Reserva Local > [Attribute]
Entity;Horario;True;Benjamin;10/04/2021 12:36:17;[Entity] > [Master]
Entity;AutorizarReserva;True;Benjamin;10/04/2021 12:14:53;[Entity] > [Master]
Attribute;Nombre Local;True;Benjamin;10/02/2021 21:03:32;[Entity] > [ParameterEnum]-Locales > [Attribute]
Attribute;Hora de solicitud;False;Benjamin;10/02/2021 21:46:12;[Entity] > [ParameterEnum]-ReservaLocal > [Attribute]
Attribute;Estado de solicitud;False;Benjamin;10/03/2021 18:57:11;[Entity] > [ParameterEnum]-ReservaLocal > [Attribute]
Attribute;AurotizarReserva;True;Benjamin;10/04/2021 12:31:20;[Entity] > [Master]-Reserva Local > [Attribute]
Entity;App;True;Benjamin;10/02/2021 18:03:16;[Entity] > [Application]
Application;App;True;Benjamin;10/02/2021 18:03:17;[Application]
Attribute;Docente;True;Benjamin;10/04/2021 12:40:27;[Entity] > [Master]-AutorizarReserva > [Attribute]
Form;form_612264e6-cd97-4295-b51b-8569dc1a6967;True;Benjamin;10/04/2021 14:13:15;[Application]-App > [ProcessClass]-Autorizar Reserva > [Process]-1.0 > [Form]
Attribute;Descripcion;True;Benjamin;10/02/2021 21:03:32;[Entity] > [ParameterEnum]-Locales > [Attribute]
Entity;ReservaLocal;False;Benjamin;10/04/2021 12:20:44;[Entity] > [ParameterEnum]
Fact;Solicitud Local;True;Benjamin;10/04/2021 12:40:27;[Entity] > [Master]-AutorizarReserva > [Fact]
Attribute;Nombre;False;Benjamin;10/04/2021 12:33:41;[Entity] > [Master]-Dia > [Attribute]
Attribute;Estado Local;True;Benjamin;10/04/2021 14:11:11;[Entity] > [ParameterEnum]-Locales > [Attribute]
Entity;Locales;True;Benjamin;10/04/2021 14:11:11;[Entity] > [ParameterEnum]
Attribute;Horario Local;True;Benjamin;10/02/2021 21:06:47;[Entity] > [ParameterEnum]-Locales > [Attribute]
Attribute;Locales;False;Benjamin;10/04/2021 12:20:44;[Entity] > [ParameterEnum]-ReservaLocal > [Attribute]
Attribute;Puntuacion;True;Benjamin;10/02/2021 21:03:32;[Entity] > [ParameterEnum]-Locales > [Attribute]
Attribute;Dia;False;Benjamin;10/04/2021 12:33:46;[Entity] > [Master]-Horario > [Attribute]
Form;form_9494961c-fbce-400d-9ca8-bb59a3d15ca9;True;Benjamin;10/02/2021 21:56:58;[Application]-App > [ProcessClass]-Autorizar Reserva > [Process]-1.0 > [Form]
ProcessClass;Autorizar Reserva;True;Benjamin;10/04/2021 12:14:24;[Application]-App > [ProcessClass]
Attribute;AurotizarReserva;True;Benjamin;10/02/2021 20:36:20;[Entity] > [Application]-App > [Attribute]
Attribute;Fecha envio;True;Benjamin;10/04/2021 12:40:11;[Entity] > [Master]-Reserva Local > [Attribute]
Process;1.0;True;Benjamin;10/02/2021 20:32:38;[Application]-App > [ProcessClass]-Autorizar Reserva > [Process]
Form;form_c444cb62-ab57-476f-aaf7-e7d564d2a0df;True;Benjamin;10/04/2021 12:43:34;[Application]-App > [ProcessClass]-Autorizar Reserva > [Process]-1.0 > [Form]
Attribute;Horario;True;Benjamin;10/04/2021 12:39:21;[Entity] > [Master]-Reserva Local > [Attribute]
Attribute;Hora;False;Benjamin;10/04/2021 12:36:17;[Entity] > [Master]-Horario > [Attribute]
Attribute;Hora inicio;False;Benjamin;10/04/2021 12:36:13;[Entity] > [Master]-Hora > [Attribute]
Entity;Reserva Local;True;Benjamin;10/04/2021 12:34:27;[Entity] > [Master]
Attribute;Fecha de aprobacion;False;Benjamin;10/04/2021 12:40:11;[Entity] > [Master]-Reserva Local > [Attribute]
BR_Rule;yes;True;Benjamin;10/02/2021 21:27:42;[Application]-App > [ProcessClass]-Autorizar Reserva > [Process]-1.0 > [BR_Rule]
Attribute;Ubicacion del local;True;Benjamin;10/02/2021 21:03:32;[Entity] > [ParameterEnum]-Locales > [Attribute]
Attribute;Codigo docente;False;Benjamin;10/02/2021 21:46:12;[Entity] > [ParameterEnum]-ReservaLocal > [Attribute]
