Type;Name;Is in package;Modified by;Modified date;Path
Entity;Docentes;False;i5;10/04/2021 12:21:13;[Entity] > [ParameterEnum]
BR_Rule;Materia 1;True;i5;10/04/2021 12:14:09;[Application]-App > [ProcessClass]-IniciarCiclo > [Process]-1.0 > [BR_Rule]
Entity;Docente;True;i5;10/04/2021 15:17:19;[Entity] > [Stakeholder]
ProcessClass;IniciarCiclo;True;i5;10/04/2021 10:12:27;[Application]-App > [ProcessClass]
Entity;Docente;True;i5;10/04/2021 15:54:55;[Entity] > [Master]
Attribute;Usuario;True;i5;10/04/2021 16:01:35;[Entity] > [Master]-Docente > [Attribute]
Attribute;Materia;True;i5;10/04/2021 14:56:25;[Entity] > [Master]-Catedra > [Attribute]
Attribute;Obligatoria;True;i5;10/04/2021 14:56:05;[Entity] > [ParameterEnum]-Materia > [Attribute]
StakeholderSentenceContext;By default;True;i5;10/04/2021 17:08:31;[Entity] > [Stakeholder]-Docente > [StakeholderSentenceContext]
Attribute;IniciarCiclo;True;i5;10/04/2021 10:16:31;[Entity] > [Application]-App > [Attribute]
Form;form_3c750540-a273-463a-a2aa-2acc58b44a3d;True;i5;10/04/2021 16:19:47;[Application]-App > [ProcessClass]-IniciarCiclo > [Process]-1.0 > [Form]
Form;form_f346112b-4a11-436b-91a3-3ccd819703e3;True;i5;10/04/2021 17:14:07;[Application]-App > [ProcessClass]-IniciarCiclo > [Process]-1.0 > [Form]
Process;1.0;True;i5;10/04/2021 10:12:27;[Application]-App > [ProcessClass]-IniciarCiclo > [Process]
Form;form_f073be29-52fe-4608-80f9-503ec28ab484;True;i5;10/04/2021 16:56:35;[Application]-App > [ProcessClass]-IniciarCiclo > [Process]-1.0 > [Form]
BR_Rule;BoolExp90403;True;i5;10/04/2021 16:59:56;[Application]-App > [ProcessClass]-IniciarCiclo > [Process]-1.0 > [BR_Rule]
Entity;Catedra;True;i5;10/04/2021 14:52:24;[Entity] > [Master]
Attribute;Dui;True;i5;10/04/2021 15:17:19;[Entity] > [Stakeholder]-Docente > [Attribute]
Attribute;fecha de fin;True;i5;10/04/2021 12:04:55;[Entity] > [Master]-IniciarCiclo > [Attribute]
Workspace;Workspace_921e1877-8ea0-45cf-8b34-64409fc5b560;True;Upgrader;10/04/2021 20:49:30;
Attribute;Catedra;True;i5;10/04/2021 15:10:12;[Entity] > [Master]-IniciarCiclo > [Attribute]
Attribute;Datos correctos;True;i5;10/04/2021 16:55:01;[Entity] > [Master]-IniciarCiclo > [Attribute]
Entity;Materia_ciclo;False;i5;10/04/2021 11:46:23;[Entity] > [ParameterEnum]
Attribute;codigo matertia;True;i5;10/04/2021 14:56:05;[Entity] > [ParameterEnum]-Materia > [Attribute]
Attribute;DocenteMateria1;True;i5;10/04/2021 16:00:33;[Entity] > [Master]-Docente > [Attribute]
Attribute;Materias Restantes;True;i5;10/04/2021 16:55:01;[Entity] > [Master]-IniciarCiclo > [Attribute]
EntityValue;s3c7780dc-6132-4291-b118-7bcb42d3660f;True;i5;10/04/2021 17:01:47;[Entity] > [ParameterEnum]-Materia > [EntityValue]
Attribute;Docente 1;False;i5;10/04/2021 12:21:13;[Entity] > [ParameterEnum]-Docentes > [Attribute]
Attribute;fecha de inicio;True;i5;10/04/2021 12:04:55;[Entity] > [Master]-IniciarCiclo > [Attribute]
Entity;Materia;True;i5;10/04/2021 14:56:05;[Entity] > [ParameterEnum]
Attribute;Docente 2;False;i5;10/04/2021 12:21:13;[Entity] > [ParameterEnum]-Docentes > [Attribute]
Attribute;ciclo par;True;i5;10/04/2021 12:04:55;[Entity] > [Master]-IniciarCiclo > [Attribute]
Attribute;Materia 1;False;i5;10/04/2021 11:46:23;[Entity] > [ParameterEnum]-Materia_ciclo > [Attribute]
Attribute;Nombre;True;i5;10/04/2021 14:56:05;[Entity] > [ParameterEnum]-Materia > [Attribute]
Application;App;True;i5;10/04/2021 10:12:24;[Application]
Attribute;Ciclo;False;i5;10/04/2021 14:52:24;[Entity] > [Master]-Catedra > [Attribute]
Attribute;Unidaves valorativas;True;i5;10/04/2021 14:56:05;[Entity] > [ParameterEnum]-Materia > [Attribute]
Attribute;año;True;i5;10/04/2021 12:04:55;[Entity] > [Master]-IniciarCiclo > [Attribute]
