Type;Name;Is in package;Modified by;Modified date;Path
Process;1.0;False;Silvia;09/26/2021 22:09:35;[Application]-App > [ProcessClass]-Gestionar reserva > [Process]
Attribute;imagen;True;Silvia;10/04/2021 09:06:47;[Entity] > [ParameterEnum]-Locall > [Attribute]
ProcessClass;Elaborar plan estratégico;False;Silvia;09/26/2021 23:55:16;[Application]-App > [ProcessClass]
Process;1.0;False;Silvia;09/26/2021 23:51:37;[Application]-App > [ProcessClass]-Geestion Evaluacion > [Process]
Attribute;altitud;True;Silvia;10/04/2021 09:02:34;[Entity] > [ParameterEnum]-Locall > [Attribute]
Attribute;codigo_docente;False;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
Attribute;Hora_inicio;True;Silvia;10/04/2021 08:55:57;[Entity] > [ParameterEnum]-Horario > [Attribute]
Attribute;Horario;True;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
ProcessClass;Gestionar reserva;False;Silvia;09/26/2021 22:09:35;[Application]-App > [ProcessClass]
ProcessClass;Solicitar reservas;True;Silvia;10/04/2021 08:24:06;[Application]-App > [ProcessClass]
Process;1.0;False;Silvia;09/26/2021 23:55:16;[Application]-App > [ProcessClass]-Elaborar plan estratégico > [Process]
Attribute;nivel;True;Silvia;10/04/2021 09:02:34;[Entity] > [ParameterEnum]-Locall > [Attribute]
Process;1.0;False;Silvia;09/26/2021 23:55:13;[Application]-App > [ProcessClass]-Plan estrategico > [Process]
Entity;Horario;True;Silvia;10/04/2021 08:55:57;[Entity] > [ParameterEnum]
Process;1.0;False;Silvia;09/26/2021 23:24:35;[Application]-App > [ProcessClass]-SolicitarReserva > [Process]
Process;1.0;False;Silvia;09/26/2021 23:58:01;[Application]-App > [ProcessClass]-Solicitar reserva > [Process]
Process;1.0;False;Silvia;09/26/2021 23:55:17;[Application]-App > [ProcessClass]-Elaborar plan de dirección > [Process]
Attribute;apellidos;True;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
Form;form_a0904e05-6384-456c-ae71-5c4f014d4e48;True;Deployment;10/04/2021 11:39:20;[Application]-App > [ProcessClass]-Solicitar reservas > [Process]-1.1 > [Form]
Process;1.0;False;Silvia;09/26/2021 23:56:03;[Application]-App > [ProcessClass]-Organismo de control > [Process]
Process;1.0;True;Silvia;10/04/2021 19:05:37;[Application]-App > [ProcessClass]-Solicitar reservas > [Process]
Entity;Solicitarreservas;True;Silvia;10/04/2021 08:50:33;[Entity] > [Master]
Attribute;nombre_dia;True;Silvia;10/04/2021 08:55:57;[Entity] > [ParameterEnum]-Horario > [Attribute]
ProcessClass;SolicitarReserva;False;Silvia;09/26/2021 23:24:35;[Application]-App > [ProcessClass]
Entity;Locall;True;Silvia;10/04/2021 09:02:34;[Entity] > [ParameterEnum]
Attribute;nombre;True;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
Attribute;Locall;True;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
Attribute;id_Solicitud;False;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
ProcessClass;Evaluacion candidato;False;Silvia;09/26/2021 23:53:53;[Application]-App > [ProcessClass]
Attribute;Descripcion;True;Silvia;10/04/2021 09:02:34;[Entity] > [ParameterEnum]-Locall > [Attribute]
Attribute;Cod_materia;False;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
Form;form_112185f3-0aeb-4030-8b4b-a2c61042ffb3;True;Silvia;10/04/2021 11:39:20;[Application]-App > [ProcessClass]-Solicitar reservas > [Process]-1.0 > [Form]
Attribute;Nombre_local;True;Silvia;10/04/2021 09:02:34;[Entity] > [ParameterEnum]-Locall > [Attribute]
ProcessClass;Plan estrategico;False;Silvia;09/26/2021 23:55:13;[Application]-App > [ProcessClass]
ProcessClass;Geestion Evaluacion;False;Silvia;09/26/2021 23:51:37;[Application]-App > [ProcessClass]
Attribute;Nombre_materia;True;Silvia;10/04/2021 09:09:21;[Entity] > [Master]-Solicitarreservas > [Attribute]
Entity;App;True;Silvia;09/26/2021 22:09:22;[Entity] > [Application]
ProcessClass;Elaborar plan de dirección;False;Silvia;09/26/2021 23:55:17;[Application]-App > [ProcessClass]
Attribute;Hora_fin;True;Silvia;10/04/2021 08:55:57;[Entity] > [ParameterEnum]-Horario > [Attribute]
Attribute;Solicitarreservas;True;Silvia;10/04/2021 08:25:42;[Entity] > [Application]-App > [Attribute]
Workspace;Workspace_51b97c00-a345-499e-86a1-ce085b8927ba;True;Upgrader;10/04/2021 21:17:14;
ProcessClass;Solicitar reserva;False;Silvia;09/26/2021 23:58:01;[Application]-App > [ProcessClass]
ProcessClass;Organismo de control;False;Silvia;09/26/2021 23:56:07;[Application]-App > [ProcessClass]
Application;App;True;Silvia;09/26/2021 22:09:22;[Application]
Process;1.0;False;Silvia;09/26/2021 23:53:53;[Application]-App > [ProcessClass]-Evaluacion candidato > [Process]
Process;1.1;True;Deployment;10/04/2021 08:24:06;[Application]-App > [ProcessClass]-Solicitar reservas > [Process]
